# scope 实时采样  2026-09-17 01:19:34
# 电机=[1, 2]  目标=20Hz
# 角度 度 / 电压 mV / 电流 mA / speed_rpm 带符号
t_s,addr,bus_mv,phase_ma,encoder,target_deg,speed_rpm,pos_deg,err_deg,homing_flags,motor_status
0.059647,1,10957,14,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
0.082647,2,11117,16,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
0.102647,1,10958,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
0.125651,2,11123,16,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
0.354533,2,11043,42,1583,147.535400390625,-15,168.37646484375,-0.8514404296875,3,1
0.357533,1,10923,56,28903,190.6622314453125,16,170.22216796875,0.780029296875,3,1
0.359532,2,11057,42,1469,147.535400390625,-16,167.750244140625,-0.867919921875,3,1
0.476959,1,10897,54,31071,190.6622314453125,22,182.13134765625,0.406494140625,3,1
0.478967,2,11055,40,64285,147.535400390625,-18,152.808837890625,-0.1702880859375,3,1
0.481959,1,10913,55,31699,190.6622314453125,17,185.5810546875,0.15380859375,3,1
0.486962,2,11086,41,64217,147.535400390625,-17,152.435302734375,-0.1593017578125,3,1
0.560681,1,10924,45,32459,190.6622314453125,10,189.755859375,-0.15380859375,3,1
0.562688,2,11051,41,63387,147.535400390625,-7,147.8759765625,0.164794921875,3,3
0.622772,1,10934,60,32706,190.6622314453125,3,191.1126708984375,-0.4449462890625,3,3
0.634331,2,11126,38,63246,147.535400390625,-1,147.1014404296875,0.428466796875,3,3
0.690576,1,10974,37,32706,190.6622314453125,0,191.1126708984375,-0.4449462890625,3,3
0.694572,2,11116,17,63246,147.535400390625,0,147.1014404296875,0.428466796875,3,3
0.753983,1,10976,14,32706,190.6622314453125,0,191.1126708984375,-0.4449462890625,3,3
0.770274,2,11115,16,63259,177.5665283203125,0,147.1728515625,0.3570556640625,3,1
0.812411,1,10934,18,32631,160.6256103515625,-1,190.70068359375,-0.63720703125,3,1
0.817402,2,11104,27,63387,177.5665283203125,2,147.8759765625,0.648193359375,3,1
0.863924,1,10919,33,32163,160.6256103515625,-7,188.1298828125,-0.8349609375,3,1
0.899323,2,11079,50,63847,177.5665283203125,8,150.40283203125,0.867919921875,3,1
0.945164,1,10891,40,30935,160.6256103515625,-16,181.38427734375,-0.9503173828125,3,1
0.953163,2,11071,51,65401,177.5665283203125,18,158.939208984375,0.9613037109375,3,1
0.997451,1,10893,48,29437,160.6256103515625,-22,173.155517578125,-0.8953857421875,3,1
1.035763,2,11029,50,1073,177.5665283203125,23,165.574951171875,0.8074951171875,3,1
1.087354,1,10942,42,28115,160.6256103515625,-18,165.8935546875,-0.3515625,3,1
1.08935,2,11064,50,2719,177.5665283203125,14,174.61669921875,0.1318359375,3,1
1.131969,1,10969,38,27199,160.6256103515625,-12,162.26806640625,0.0384521484375,3,1
1.172402,2,11039,43,3142,177.5665283203125,9,176.9403076171875,-0.10986328125,3,3
1.215071,1,10953,40,27092,160.6256103515625,-1,160.2740478515625,0.3515625,3,3
1.218661,2,11080,60,3318,177.5665283203125,0,177.9071044921875,-0.3350830078125,3,3
1.308611,1,10976,15,27092,160.6256103515625,0,160.2740478515625,0.3515625,3,3
1.35339,2,11078,16,3318,177.5665283203125,0,177.9071044921875,-0.3350830078125,3,3
1.357395,1,10968,14,27105,190.6622314453125,0,160.345458984375,0.2801513671875,3,1
1.395058,2,11131,16,3307,147.535400390625,0,177.8466796875,-0.274658203125,3,1
1.44948,2,11071,38,2947,147.535400390625,-5,175.869140625,-0.76904296875,3,1
1.499869,1,10919,48,28327,190.6622314453125,6,162.83935546875,0.8074951171875,3,1
1.537661,2,11057,44,2179,147.535400390625,-12,171.650390625,-0.8843994140625,3,1
1.579971,1,10891,45,29941,190.6622314453125,21,175.924072265625,0.9832763671875,3,1
1.581759,2,11041,48,419,147.535400390625,-21,161.982421875,-1.03271484375,3,1
1.667903,1,10872,44,31275,190.6622314453125,20,183.251953125,0.4888916015625,3,1
1.670937,2,11042,46,64111,147.535400390625,-16,151.85302734375,-0.2142333984375,3,1
1.715541,1,10912,41,32367,190.6622314453125,11,189.25048828125,-0.0054931640625,3,1
1.71754,2,11057,35,63555,147.535400390625,-11,148.798828125,0.054931640625,3,1
1.777024,1,10920,62,32680,190.6622314453125,4,190.9698486328125,-0.3021240234375,3,3
1.809026,2,11096,44,63260,147.535400390625,-4,147.1783447265625,0.3515625,3,3
1.8357,1,10956,54,32690,190.6622314453125,0,191.0247802734375,-0.3570556640625,3,3
1.87877,2,11119,16,63254,147.535400390625,0,147.1453857421875,0.384521484375,3,3
1.915847,1,10965,18,32690,190.6622314453125,0,191.0247802734375,-0.3570556640625,3,3
1.952758,2,11119,16,63254,147.535400390625,0,147.1453857421875,0.384521484375,3,3
1.968755,1,10992,15,32690,190.6622314453125,0,191.0247802734375,-0.3570556640625,3,3
1.993755,2,11129,16,63254,147.535400390625,0,147.1453857421875,0.384521484375,3,3
2.017178,1,10983,16,32684,190.6622314453125,0,190.9918212890625,-0.3240966796875,3,3
2.046481,2,11095,16,63260,147.535400390625,0,147.1783447265625,0.3515625,3,3
2.090582,1,10973,18,32635,160.6256103515625,0,190.72265625,-0.4010009765625,3,1
2.093289,2,11095,28,63337,177.5665283203125,1,147.601318359375,0.4779052734375,3,1
2.14723,1,10913,26,32199,160.6256103515625,-6,188.32763671875,-0.670166015625,3,1
2.149229,2,11058,56,63769,177.5665283203125,7,149.974365234375,0.72509765625,3,1
2.231815,1,10919,33,30785,160.6256103515625,-16,180.560302734375,-0.8734130859375,3,1
2.234739,2,11019,59,65217,177.5665283203125,17,157.928466796875,0.9063720703125,3,1
2.290173,1,10917,40,29411,160.6256103515625,-22,173.0126953125,-0.802001953125,3,1
2.293173,2,11031,58,1113,177.5665283203125,23,165.794677734375,0.736083984375,3,1
2.345763,1,10914,35,28245,160.6256103515625,-19,166.607666015625,-0.296630859375,3,1
2.377905,2,11033,53,2247,177.5665283203125,18,172.02392578125,0.274658203125,3,1
2.424446,1,10922,31,27333,160.6256103515625,-13,163.004150390625,-0.010986328125,3,1
2.427118,2,11077,50,3156,177.5665283203125,9,177.0172119140625,-0.1702880859375,3,3
2.48347,1,10939,34,27088,160.6256103515625,-2,160.2520751953125,0.37353515625,3,3
2.515365,2,11059,59,3324,177.5665283203125,2,177.9400634765625,-0.3680419921875,3,3
2.564397,1,10969,15,27088,160.6256103515625,0,160.2520751953125,0.37353515625,3,3
2.568397,2,11156,41,3324,177.5665283203125,0,177.9400634765625,-0.3680419921875,3,3
