# ZDT 采样  2026-09-17 00:28:16
# 电机=[1, 2]  目标=20Hz  轮询等待=0.08s
# 角度 度 / 电压 mV / 电流 mA / speed_rpm 带符号 / *_flags 为位域原件
t_s,addr,bus_mv,phase_ma,encoder,target_deg,speed_rpm,pos_deg,err_deg,homing_flags,motor_status
0.012005,1,11023,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.026144,2,11196,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.071625,1,11038,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.088247,2,11185,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.132292,1,11041,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.147291,2,11191,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.193338,1,11075,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.208338,2,11177,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.253909,1,11049,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.269089,2,11145,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.31465,1,11041,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.32944,2,11188,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.374568,1,11019,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.389359,2,11171,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.435338,1,11037,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.450342,2,11159,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.497477,1,11031,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.511482,2,11176,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.557171,1,11041,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.572171,2,11212,14,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.618698,1,11072,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.63383,2,11184,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.680452,1,11054,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.694079,2,11183,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.738645,1,11042,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.753088,2,11207,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.799567,1,11016,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.814806,2,11200,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.860768,1,11029,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.875589,2,11197,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.921244,1,11027,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.936796,2,11220,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
0.982775,1,11031,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
0.998245,2,11170,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
1.044594,1,11056,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
1.058303,2,11201,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
